ref_month,ipca_index
200306,2175.23
200307,2179.58
200308,2186.99
200309,2204.05
200310,2210.44
200311,2217.96
200312,2229.49
200401,2246.43
200402,2260.13
200403,2270.75
200404,2279.15
200405,2290.77
200406,2307.03
200407,2328.02
200408,2344.08
200409,2351.82
200410,2362.17
200411,2378.47
200412,2398.92
200501,2412.83
200502,2427.07
200503,2441.87
200504,2463.11
200505,2475.18
200506,2474.68
200507,2480.87
200508,2485.09
200509,2493.79
200510,2512.49
200511,2526.31
200512,2535.4
200601,2550.36
200602,2560.82
200603,2571.83
200604,2577.23
200605,2579.81
200606,2574.39
200607,2579.28
200608,2580.57
200609,2585.99
200610,2594.52
200611,2602.56
200612,2615.05
200701,2626.56
200702,2638.12
200703,2647.88
200704,2654.5
200705,2661.93
200706,2669.38
200707,2675.79
200708,2688.37
200709,2693.21
200710,2701.29
200711,2711.55
200712,2731.62
200801,2746.37
200802,2759.83
200803,2773.08
200804,2788.33
200805,2810.36
200806,2831.16
200807,2846.16
200808,2854.13
200809,2861.55
200810,2874.43
200811,2884.78
200812,2892.86
200901,2906.74
200902,2922.73
200903,2928.57
200904,2942.63
200905,2956.46
200906,2967.1
200907,2974.22
200908,2978.68
200909,2985.83
200910,2994.19
200911,3006.47
200912,3017.59
201001,3040.22
201002,3063.93
201003,3079.86
201004,3097.42
201005,3110.74
201006,3110.74
201007,3111.05
201008,3112.29
201009,3126.29
201010,3149.74
201011,3175.88
201012,3195.89
201101,3222.42
201102,3248.2
201103,3273.86
201104,3299.07
201105,3314.58
201106,3319.55
201107,3324.86
201108,3337.16
201109,3354.85
201110,3369.28
201111,3386.8
201112,3403.73
201201,3422.79
201202,3438.19
201203,3445.41
201204,3467.46
201205,3479.94
201206,3482.72
201207,3497.7
201208,3512.04
201209,3532.06
201210,3552.9
201211,3574.22
201212,3602.46
201301,3633.44
201302,3655.24
201303,3672.42
201304,3692.62
201305,3706.28
201306,3715.92
201307,3717.03
201308,3725.95
201309,3738.99
201310,3760.3
201311,3780.61
201312,3815.39
201401,3836.37
201402,3862.84
201403,3898.38
201404,3924.5
201405,3942.55
201406,3958.32
201407,3958.72
201408,3968.62
201409,3991.24
201410,4008
201411,4028.44
201412,4059.86
201501,4110.2
201502,4160.34
201503,4215.26
201504,4245.19
201505,4276.6
201506,4310.39
201507,4337.11
201508,4346.65
201509,4370.12
201510,4405.95
201511,4450.45
201512,4493.17
201601,4550.23
201602,4591.18
201603,4610.92
201604,4639.05
201605,4675.23
201606,4691.59
201607,4715.99
201608,4736.74
201609,4740.53
201610,4752.86
201611,4761.42
201612,4775.7
201701,4793.85
201702,4809.67
201703,4821.69
201704,4828.44
201705,4843.41
201706,4832.27
201707,4843.87
201708,4853.07
201709,4860.83
201710,4881.25
201711,4894.92
201712,4916.46
201801,4930.72
201802,4946.5
201803,4950.95
201804,4961.84
201805,4981.69
201806,5044.46
201807,5061.11
201808,5056.56
201809,5080.83
201810,5103.69
201811,5092.97
201812,5100.61
201901,5116.93
201902,5138.93
201903,5177.47
201904,5206.98
201905,5213.75
201906,5214.27
201907,5224.18
201908,5229.93
201909,5227.84
201910,5233.07
201911,5259.76
201912,5320.25
202001,5331.42
202002,5344.75
202003,5348.49
202004,5331.91
202005,5311.65
202006,5325.46
202007,5344.63
202008,5357.46
202009,5391.75
202010,5438.12
202011,5486.52
202012,5560.59
202101,5574.49
202102,5622.43
202103,5674.72
202104,5692.31
202105,5739.56
202106,5769.98
202107,5825.37
202108,5876.05
202109,5944.21
202110,6018.51
202111,6075.69
202112,6120.04
202201,6153.09
202202,6215.24
202203,6315.93
202204,6382.88
202205,6412.88
202206,6455.85
202207,6411.95
202208,6388.87
202209,6370.34
202210,6407.93
202211,6434.2
202212,6474.09
202301,6508.4
202302,6563.07
202303,6609.67
202304,6649.99
202305,6665.28
202306,6659.95
202307,6667.94
202308,6683.28
202309,6700.66
202310,6716.74
202311,6735.55
202312,6773.27
202401,6801.72
202402,6858.17
202403,6869.14
202404,6895.24
202405,6926.96
202406,6941.51
202407,6967.89
202408,6966.5
202409,6997.15
202410,7036.33
202411,7063.77
202412,7100.5
202501,7111.86
202502,7205.03
202503,7245.38
202504,7276.54
202505,7295.46
202506,7312.97
202507,7331.98
202508,7323.91
202509,7359.06
202510,7365.68
202511,7378.94
202512,7403.29
202601,7427.72
202602,7479.71
202603,7545.53
202604,7596.09
202605,7640.15
202606,7652.37
202607,7657.73
